fecha,axn_impression,canal_1_impression,canal_caracol_impression,canal_rcn_impression,cinecanal_impression,citytv_impression,discovery_channel_impression,discovery_home_&_health_impression,espn_impression,food_network_impression,space_impression,star_channel_impression,tnt_impression,tnt_series_impression,teleantioquia_impression,telecafe_impression,telecaribe_impression,telepacifico_impression,warner_impression,axn_spend,canal_1_spend,canal_caracol_spend,canal_rcn_spend,cinecanal_spend,citytv_spend,discovery_channel_spend,discovery_home_&_health_spend,espn_spend,food_network_spend,space_spend,star_channel_spend,tnt_spend,tnt_series_spend,teleantioquia_spend,telecafe_spend,telecaribe_spend,telepacifico_spend,warner_spend,bing_impression,bing_spend,dv360_impression,dv360_spend,facebook_brand_impression,facebook_brand_spend,facebook_credito_impression,facebook_credito_spend,facebook_ecommerce_impression,facebook_ecommerce_spend,facebook_empresarios_impression,facebook_empresarios_spend,facebook_hogar_impression,facebook_hogar_spend,facebook_servicio_impression,facebook_servicio_spend,google_brand_impression,google_brand_spend,google_ecommerce_impression,google_ecommerce_spend,google_servicio_impression,google_servicio_spend,tiktok_impression,tiktok_spend,rrssfacebook_impression,rrssinstagram_impression,rrsstiktok_impression,rrssyoutube_impression,rrssfacebook_spend,rrssinstagram_spend,rrsstiktok_spend,rrssyoutube_spend,cantidad_cocinas,cantidad_lavadoras,cantidad_neveras,conversions,valor_cocinas,valor_lavadoras,valor_neveras,revenue_per_conversion,abba_cocina_unidades,abba_cocina_ventas,acros_lavadoras_unidades,acros_lavadoras_ventas,challenger_cocina_unidades,challenger_cocina_ventas,challenger_lavadoras_unidades,challenger_lavadoras_ventas,challenger_neveras_unidades,challenger_neveras_ventas,electrolux_lavadoras_unidades,electrolux_lavadoras_ventas,electrolux_neveras_unidades,electrolux_neveras_ventas,ge profile_neveras_unidades,ge profile_neveras_ventas,haceb_cocina_unidades,haceb_cocina_ventas,haceb_lavadoras_unidades,haceb_lavadoras_ventas,haceb_neveras_unidades,haceb_neveras_ventas,hisense_neveras_unidades,hisense_neveras_ventas,indurama_cocina_unidades,indurama_cocina_ventas,kitchenaid_cocina_unidades,kitchenaid_cocina_ventas,lg_lavadoras_unidades,lg_lavadoras_ventas,lg_neveras_unidades,lg_neveras_ventas,mabe_cocina_unidades,mabe_cocina_ventas,mabe_lavadoras_unidades,mabe_lavadoras_ventas,mabe_neveras_unidades,mabe_neveras_ventas,samsung_lavadoras_unidades,samsung_lavadoras_ventas,samsung_neveras_unidades,samsung_neveras_ventas,superior_cocina_unidades,superior_cocina_ventas,whirlpool_cocina_unidades,whirlpool_cocina_ventas,whirlpool_lavadoras_unidades,whirlpool_lavadoras_ventas,whirlpool_neveras_unidades,whirlpool_neveras_ventas,total_cocina_unidades,total_cocina_ventas,total_neveras_unidades,total_neveras_ventas,total_lavadoras_unidades,total_lavadoras_ventas,centrales_marca_compradas,challenger_marca_compradas,electrolux_marca_compradas,haceb_marca_compradas,icasa_marca_compradas,kalley_marca_compradas,lg_marca_compradas,mabe_marca_compradas,no recuerda_marca_compradas,samsung_marca_compradas,whirlpool_marca_compradas,centrales_marca_proximas_comprar,challenger_marca_proximas_comprar,electrolux_marca_proximas_comprar,haceb_marca_proximas_comprar,icasa_marca_proximas_comprar,kalley_marca_proximas_comprar,lg_marca_proximas_comprar,mabe_marca_proximas_comprar,samsung_marca_proximas_comprar,whirlpool_marca_proximas_comprar,centrales_marca_top_of_heart,challenger_marca_top_of_heart,electrolux_marca_top_of_heart,haceb_marca_top_of_heart,icasa_marca_top_of_heart,kalley_marca_top_of_heart,lg_marca_top_of_heart,mabe_marca_top_of_heart,samsung_marca_top_of_heart,whirlpool_marca_top_of_heart,centrales_recordacion_top_of_mind,challenger_recordacion_top_of_mind,electrolux_recordacion_top_of_mind,haceb_recordacion_top_of_mind,icasa_recordacion_top_of_mind,kalley_recordacion_top_of_mind,lg_recordacion_top_of_mind,mabe_recordacion_top_of_mind,no recuerda_recordacion_top_of_mind,samsung_recordacion_top_of_mind,whirlpool_recordacion_top_of_mind,promotores_btl,48_horas_de_dscto,aniversario_salas,calendario_eventos2_black_days,dcto_linea_premium,descuento_calentadores,descuento_conservacion_de_alimentos,descuento_conservacion_de_alimentos_y_cuidado_del_hogar,descuento_cuidado_del_hogar,especial_calentadores_y_aires,especial_empotre,especial_empotre_y_lavado,especial_empotre_y_refrigeracion,especial_empotre_y_calentadores,especial_refrigeracion_y_menores,especial_de_lavado,feria_de_saldos_y_np,hot_sales,calendario_eventos2_madrugon,marco_promocional_habitual,calendario_eventos2_mega_outlet,por_ser_hogar_haceb,super_martes,calendario_eventos2_super_sale,calendario_eventos2_super_sabado,tecnamorate,aniversario_exito,mega_prima,ddpe,calendario_eventos_black_friday,renueva_tu_hogar,abril_es_una_ganga,agosto_alkosto,aniversario_1,aniversario_2,aniversario_easy,bajo_cero,aniversario_olimpica,evento_patrocinado_bajo_cero,temporada_de_casa,precios_campeones,cumpleanos_homecenter,aniverasrio,electrodomesticos_a_la_fija,easy_cumpleanos,dias_del_ahorro_easy,bajo_cero_olimpiadas,folleto_climatizacion_aires,48_horas_de_descuento,campana_re_hacer,calendario_promos_super_sale,calendario_promos_super_sabado,hot_sale,aniversario_haceb,activacion_experiencia_6_pdv_nacional,feria_de_saldos,super_tuesday,mega_outlet_diciembre,entrega_de_aguas_pepe_sierra,promotoria_moderno,promotoria_especial,promotoria_directo,nps,ins,ces,ventas_call_center,sesiones
2023-08-24,0.0,0,0,0,0,0,0,2700,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5161200,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,88625,240344,0,0,19606,94118,0,0,0,0,166723,268849,116779,313769.62,125170,1420823.21,11265,1133086.86,88724,99758.28,0,0,0,2259,0,0,0,0,540,292,501,1333,257946864.1,386351454.2,799670333.0,1083247.3000750188,161.847371,136358288.9,56.44045257,78646341.11,102.1271241,91760497.17,211.1897136,259150336.7,533.4089407,736831554.8,72.83152429,109678680.9,60.80784464,123869451.2,2.242646834,13796494.09,542.4309988,486701916.2,756.7267342,1103521043.0,1069.082926,1986150072.0,15.61511533,28249271.83,12.60255069,21784738.81,0.543872817,7643329.994,555.0121765,1490565049.0,150.1221123,750413847.4,75.95576831,103183206.9,246.2036105,414059120.3,938.5515811,1842273306.0,811.7274997,1991888238.0,284.1918236,1102639631.0,8.001283843,6984303.626,4.91136782,14195985.15,227.2287634,506500731.7,123.6438697,322818437.6,915.7818459,883151413.4,3198.407291,6954198094,3052.929089,6053487390,0.018490323,0.029735484,0.012487097,0.050770968,0.011296774,0.028825806,0.119780645,0.034003226,0.0,0.107693548,0.041332258,0.062535484,0.108245161,0.054477419,0.180674194,0.033193548,0.079574194,0.271480645,0.099419355,0.319516129,0.13253871,0.0204,0.060593548,0.027874194,0.115158065,0.008170968,0.051358065,0.172229032,0.045493548,0.235129032,0.069025806,0.029419355,0.037535484,0.006541935,0.123303226,0.0187,0.063067742,0.26323871,0.121012903,0.0401,0.193406452,0.034616129,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,85,17,32,0.65,0.1,5,7974
2023-08-25,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,44160,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3519850,0,0,0,0,0,0,0,0.0,0,0.0,36141,176148,0,0,16625,95846,0,0,0,0,152312,238942,97568,310784.75,88539,1201481.58,11486,1289560.96,93773,98677.89,26601,2689,922,2277,0,0,0,0,559,301,511,1371,284943643.2,393981329.6,836492264.8,1105337.153902261,161.847371,136358288.9,56.44045257,78646341.11,102.1271241,91760497.17,211.1897136,259150336.7,533.4089407,736831554.8,72.83152429,109678680.9,60.80784464,123869451.2,2.242646834,13796494.09,542.4309988,486701916.2,756.7267342,1103521043.0,1069.082926,1986150072.0,15.61511533,28249271.83,12.60255069,21784738.81,0.543872817,7643329.994,555.0121765,1490565049.0,150.1221123,750413847.4,75.95576831,103183206.9,246.2036105,414059120.3,938.5515811,1842273306.0,811.7274997,1991888238.0,284.1918236,1102639631.0,8.001283843,6984303.626,4.91136782,14195985.15,227.2287634,506500731.7,123.6438697,322818437.6,915.7818459,883151413.4,3198.407291,6954198094,3052.929089,6053487390,0.018272581,0.029483871,0.012496774,0.050667742,0.011474194,0.028656452,0.119445161,0.033975806,0.0,0.107198387,0.041358065,0.062533871,0.10811129,0.054919355,0.181143548,0.033398387,0.079743548,0.271345161,0.099304839,0.319079032,0.132909677,0.02045,0.060098387,0.028093548,0.115014516,0.008217742,0.052014516,0.171932258,0.045898387,0.234482258,0.069506452,0.029304839,0.037083871,0.006585484,0.123475806,0.01855,0.063091935,0.263509677,0.120403226,0.0403,0.193651613,0.034529032,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,85,17,7,0.63,0.44,-2,7141
2023-08-26,0.0,0,0,0,0,0,0,3510,0.0,0,0.0,0,89700,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5272550,0,0,0,0,3398300,0,0,0,0,0,0,0,0.0,0,0.0,4762,161189,0,0,19469,86360,0,0,0,0,141858,182453,98179,308552.48,90913,1082863.25,9648,1132192.79,107291,99672.07,0,0,0,2557,0,0,0,0,849,516,892,2257,449386562.8,695461883.8,1408491270.0,1131298.0580416482,121.3855283,102268716.7,42.33033943,58984755.83,76.5953431,68820372.88,158.3922852,194362752.6,400.0567055,552623666.1,54.62364322,82259010.66,45.60588348,92902088.38,1.681985126,10347370.57,406.8232491,365026437.2,567.5450507,827640782.5,801.8121947,1489612554.0,11.7113365,21186953.87,9.451913015,16338554.11,0.407904612,5732497.496,416.2591324,1117923787.0,112.5915842,562810385.6,56.96682624,77387405.19,184.6527079,310544340.2,703.9136858,1381704979.0,608.7956248,1493916179.0,213.1438677,826979723.2,6.000962882,5238227.719,3.683525865,10646988.86,170.4215725,379875548.7,92.73290228,242113828.2,686.8363844,662363560.1,2398.805468,5215648571,2289.696817,4540115543,0.018054839,0.029232258,0.012506452,0.050564516,0.011651613,0.028487097,0.119109677,0.033948387,0.0,0.106703226,0.041383871,0.062532258,0.107977419,0.05536129,0.181612903,0.033603226,0.079912903,0.271209677,0.099190323,0.318641935,0.133280645,0.0205,0.059603226,0.028312903,0.114870968,0.008264516,0.052670968,0.171635484,0.046303226,0.233835484,0.069987097,0.029190323,0.036632258,0.006629032,0.123648387,0.0184,0.063116129,0.263780645,0.119793548,0.0405,0.193896774,0.034441935,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,85,17,56,0.7,0.13,3,6265
2023-08-27,0.0,0,0,0,0,0,0,2160,0.0,145,0.0,0,75900,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3620150,0,3528350,0,0,3519850,0,0,0,0,0,0,0,0.0,0,0.0,13692,197515,0,0,22446,101822,0,0,0,0,151821,120034,104964,298183.85,78589,1059725.24,11528,934528.9,110318,99253.4,0,0,0,2130,0,0,0,0,594,323,524,1441,277246278.7,428069265.1,813326836.2,1053880.9021512838,60.69276414,51134358.36,21.16516971,29492377.92,38.29767155,34410186.44,79.19614259,97181376.28,200.0283528,276311833.0,27.31182161,41129505.33,22.80294174,46451044.19,0.840992563,5173685.284,203.4116246,182513218.6,283.7725253,413820391.2,400.9060973,744806277.2,5.85566825,10593476.94,4.725956507,8169277.054,0.203952306,2866248.748,208.1295662,558961893.3,56.29579212,281405192.8,28.48341312,38693702.59,92.32635393,155272170.1,351.9568429,690852489.6,304.3978124,746958089.3,106.5719338,413489861.6,3.000481441,2619113.86,1.841762932,5323494.429,85.21078626,189937774.4,46.36645114,121056914.1,343.4181922,331181780.0,1199.402734,2607824285,1144.848408,2270057771,0.017837097,0.028980645,0.012516129,0.05046129,0.011829032,0.028317742,0.118774194,0.033920968,0.0,0.106208065,0.041409677,0.062530645,0.107843548,0.055803226,0.182082258,0.033808065,0.080082258,0.271074194,0.099075806,0.318204839,0.133651613,0.02055,0.059108065,0.028532258,0.114727419,0.00831129,0.053327419,0.17133871,0.046708065,0.23318871,0.070467742,0.029075806,0.036180645,0.006672581,0.123820968,0.01825,0.063140323,0.264051613,0.119183871,0.0407,0.194141935,0.034354839,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,85,17,39,0.55,0.15,0,5467
2023-08-28,0.0,0,0,0,0,0,0,0,0.0,435,0.0,0,77970,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643900,0,0,4126750,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,26875,120521,0,0,0,0,246147,505184,12203,40535.28,90813,1254123.2,8210,1225417.51,200271,199708.28,0,5133,10948,1966,0,0,0,0,662,409,661,1732,330057179.8,523851765.1,1062897274.0,1106701.0502309469,97.10842263,81814973.37,33.86427154,47187804.67,61.27627448,55056298.3,126.7138282,155490202.0,320.0453644,442098932.9,43.69891458,65807208.53,36.48470679,74321670.7,1.3455881,8277896.455,325.4585993,292021149.7,454.0360405,662112626.0,641.4497557,1191690043.0,9.3690692,16949563.1,7.561530412,13070843.29,0.32632369,4585997.997,333.0073059,894339029.4,90.07326739,450248308.4,45.57346099,61909924.15,147.7221663,248435472.2,563.1309487,1105363983.0,487.0364998,1195132943.0,170.5150941,661583778.6,4.800770306,4190582.176,2.946820692,8517591.087,136.337258,303900439.0,74.18632182,193691062.5,549.4691075,529890848.1,1919.044374,4172518857,1831.757453,3632092434,0.017619355,0.028729032,0.012525806,0.050358065,0.012006452,0.028148387,0.11843871,0.033893548,0.0,0.105712903,0.041435484,0.062529032,0.107709677,0.056245161,0.182551613,0.034012903,0.080251613,0.27093871,0.09896129,0.317767742,0.134022581,0.0206,0.058612903,0.028751613,0.114583871,0.008358065,0.053983871,0.171041935,0.047112903,0.232541935,0.070948387,0.02896129,0.035729032,0.006716129,0.123993548,0.0181,0.063164516,0.264322581,0.118574194,0.0409,0.194387097,0.034267742,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,85,17,68,0.82,0.16,3,8276
2023-08-29,0.0,366625,6880950,4912050,0,0,0,1350,0.0,1885,0.0,0,15180,0.0,0,0,0,0,0,0,13270200,33750950,14347150,0,0,0,3508800,0,2193000,0,0,2427600,0,0,0,0,0,0,0,0.0,0,0.0,131134,90243,0,0,25123,125725,0,0,0,0,301475,505864,271559,908983.66,91290,1130268.29,10997,1262589.74,55632,50000.0,11354,0,0,90743,0,0,0,0,711,354,586,1651,371130376.7,455186592.0,963590657.2,1084135.4488188976,97.10842263,81814973.37,33.86427154,47187804.67,61.27627448,55056298.3,126.7138282,155490202.0,320.0453644,442098932.9,43.69891458,65807208.53,36.48470679,74321670.7,1.3455881,8277896.455,325.4585993,292021149.7,454.0360405,662112626.0,641.4497557,1191690043.0,9.3690692,16949563.1,7.561530412,13070843.29,0.32632369,4585997.997,333.0073059,894339029.4,90.07326739,450248308.4,45.57346099,61909924.15,147.7221663,248435472.2,563.1309487,1105363983.0,487.0364998,1195132943.0,170.5150941,661583778.6,4.800770306,4190582.176,2.946820692,8517591.087,136.337258,303900439.0,74.18632182,193691062.5,549.4691075,529890848.1,1919.044374,4172518857,1831.757453,3632092434,0.017401613,0.028477419,0.012535484,0.050254839,0.012183871,0.027979032,0.118103226,0.033866129,0.0,0.105217742,0.04146129,0.062527419,0.107575806,0.056687097,0.183020968,0.034217742,0.080420968,0.270803226,0.098846774,0.317330645,0.134393548,0.02065,0.058117742,0.028970968,0.114440323,0.008404839,0.054640323,0.170745161,0.047517742,0.231895161,0.071429032,0.028846774,0.035277419,0.006759677,0.124166129,0.01795,0.06318871,0.264593548,0.117964516,0.0411,0.194632258,0.034180645,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,85,17,64,0.71,0.11,8,8353
2023-08-30,0.0,110250,26527500,2484625,0,0,0,4995,0.0,0,10325.0,0,16560,15487.5,40800,6150,10200,5775,0,0,6635100,70380850,8584150,0,0,0,5161200,0,1920150,5896450,0,1504500,4239800,2274600,633250,812600,377400,0,0,0.0,0,0.0,666760,465920,0,0,24453,124062,0,0,0,0,305754,444984,329450,1042459.02,86662,1266106.18,12258,1176679.42,592773,650000.0,15002,7559,0,93330,0,0,0,0,634,519,641,1794,327416879.5,591269835.2,1011034914.0,1075653.0813823857,129.4778968,109086631.2,45.15236206,62917072.89,81.70169931,73408397.73,168.9517709,207320269.4,426.7271526,589465243.8,58.26521943,87742944.7,48.64627571,99095560.94,1.794117467,11037195.27,433.944799,389361533.0,605.3813874,882816834.6,855.266341,1588920058.0,12.49209227,22599417.47,10.08204055,17427791.05,0.435098253,6114663.995,444.0097412,1192452039.0,120.0976898,600331077.9,60.76461465,82546565.53,196.9628884,331247296.3,750.8412649,1473818644.0,649.3819997,1593510591.0,227.3534589,882111704.8,6.401027074,5587442.901,3.929094256,11356788.12,181.7830107,405200585.3,98.91509576,258254750.1,732.6254767,706521130.8,2558.725832,5563358475,2442.343271,4842789912,0.017183871,0.028225806,0.012545161,0.050151613,0.01236129,0.027809677,0.117767742,0.03383871,0.0,0.104722581,0.041487097,0.062525806,0.107441935,0.057129032,0.183490323,0.034422581,0.080590323,0.270667742,0.098732258,0.316893548,0.134764516,0.0207,0.057622581,0.029190323,0.114296774,0.008451613,0.055296774,0.170448387,0.047922581,0.231248387,0.071909677,0.028732258,0.034825806,0.006803226,0.12433871,0.0178,0.063212903,0.264864516,0.117354839,0.0413,0.194877419,0.034093548,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,85,17,63,0.77,0.1,10,8085
2023-08-31,11092.5,180250,13624200,3256825,0,0,0,945,0.0,290,5900.0,0,19320,10767.5,45000,2025,13000,2025,0,4760850,6635100,24816600,8584150,0,0,0,4344350,0,2193000,6716700,0,2791400,4030700,2274600,633250,812600,377400,0,0,0.0,2194958,1589229.53,796152,535489,0,0,23921,132616,0,0,0,0,295689,400367,384788,1040893.85,101381,1429308.48,8305,809836.37,641362,653723.0,0,0,1615,64272,0,0,0,0,825,485,1150,2460,426714556.6,667038127.4,1822868700.0,1185618.4487804878,161.847371,136358288.9,56.44045257,78646341.11,102.1271241,91760497.17,211.1897136,259150336.7,533.4089407,736831554.8,72.83152429,109678680.9,60.80784464,123869451.2,2.242646834,13796494.09,542.4309988,486701916.2,756.7267342,1103521043.0,1069.082926,1986150072.0,15.61511533,28249271.83,12.60255069,21784738.81,0.543872817,7643329.994,555.0121765,1490565049.0,150.1221123,750413847.4,75.95576831,103183206.9,246.2036105,414059120.3,938.5515811,1842273306.0,811.7274997,1991888238.0,284.1918236,1102639631.0,8.001283843,6984303.626,4.91136782,14195985.15,227.2287634,506500731.7,123.6438697,322818437.6,915.7818459,883151413.4,3198.407291,6954198094,3052.929089,6053487390,0.016966129,0.027974194,0.012554839,0.050048387,0.01253871,0.027640323,0.117432258,0.03381129,0.0,0.104227419,0.041512903,0.062524194,0.107308065,0.057570968,0.183959677,0.034627419,0.080759677,0.270532258,0.098617742,0.316456452,0.135135484,0.02075,0.057127419,0.029409677,0.114153226,0.008498387,0.055953226,0.170151613,0.048327419,0.230601613,0.072390323,0.028617742,0.034374194,0.006846774,0.12451129,0.01765,0.063237097,0.265135484,0.116745161,0.0415,0.195122581,0.034006452,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,85,17,58,0.72,0.13,10,8396
2023-09-01,11382.5,0,6471900,1036750,0,0,0,0,0.0,0,12685.0,0,4830,9440.0,0,0,0,0,0,3589550,0,10307950,1869150,0,0,0,0,0,0,5422150,0,1092250,3507100,0,0,0,0,0,0,0.0,523262,153947.54,617445,334709,0,0,34440,122642,0,0,0,0,217441,220664,279058,593981.46,76778,1129153.17,7565,839820.75,283961,225000.0,0,7413,0,48955,0,0,0,0,1928,532,2234,4694,907135969.3,696568442.2,3370474412.0,1059688.7141031104,144.2716511,121328690.8,36.80568669,52655315.76,85.16857883,78221254.37,255.3544814,271539944.4,431.8197648,582070142.0,72.13267847,103440672.6,77.56547679,135794973.8,2.02631161,12277277.78,494.2361222,418712442.5,606.7870769,933207414.3,1037.072212,1922132969.0,19.99623992,35237287.52,12.13334624,21049769.51,1.078651685,14930510.21,560.4719393,1399668784.0,147.3243047,700253323.6,69.77330112,93306701.12,223.4575957,326840565.1,899.4738703,1732465332.0,697.69685,1604565551.0,330.5631232,1221800167.0,4.886575281,4250954.426,6.352530691,22586193.62,220.9063104,484503542.4,120.5212778,303389475.3,823.4226331,789704733.8,3090.826487,6707904007,2829.530816,5309026443,0.016748387,0.027722581,0.012564516,0.049945161,0.012716129,0.027470968,0.117096774,0.033783871,0.0,0.103732258,0.04153871,0.062522581,0.107174194,0.058012903,0.184429032,0.034832258,0.080929032,0.270396774,0.098503226,0.316019355,0.135506452,0.0208,0.056632258,0.029629032,0.114009677,0.008545161,0.056609677,0.169854839,0.048732258,0.229954839,0.072870968,0.028503226,0.033922581,0.006890323,0.124683871,0.0175,0.06326129,0.265406452,0.116135484,0.0417,0.195367742,0.033919355,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,79,16,48,0.65,0.13,2,6771
2023-09-02,0.0,0,0,0,0,0,0,1755,0.0,145,0.0,0,12420,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2580600,0,821950,0,0,3519850,0,0,0,0,0,0,0,0.0,540467,149220.9,376960,202871,0,0,33247,122304,0,0,0,0,161778,105327,318061,632936.74,90989,1214682.7,7805,844747.57,216762,225000.0,12071,0,0,75312,0,0,0,0,1191,605,956,2752,564318263.6,788163181.3,1494619405.0,1034556.9949127907,108.2037384,90996518.08,27.60426502,39491486.82,63.87643413,58665940.77,191.515861,203654958.3,323.8648236,436552606.5,54.09950885,77580504.43,58.17410759,101846230.3,1.519733708,9207958.336,370.6770916,314034331.9,455.0903077,699905560.7,777.8041591,1441599726.0,14.99717994,26427965.64,9.100009677,15787327.13,0.808988764,11197882.66,420.3539545,1049751588.0,110.4932285,525189992.7,52.32997584,69980025.84,167.5931968,245130423.8,674.6054027,1299348999.0,523.2726375,1203424164.0,247.9223424,916350125.6,3.664931461,3188215.82,4.764398018,16939645.22,165.6797328,363377656.8,90.39095831,227542106.5,617.5669748,592278550.3,2318.119866,5030928006,2122.148112,3981769832,0.016530645,0.027470968,0.012574194,0.049841935,0.012893548,0.027301613,0.11676129,0.033756452,0.0,0.103237097,0.041564516,0.062520968,0.107040323,0.058454839,0.184898387,0.035037097,0.081098387,0.27026129,0.09838871,0.315582258,0.135877419,0.02085,0.056137097,0.029848387,0.113866129,0.008591935,0.057266129,0.169558065,0.049137097,0.229308065,0.073351613,0.02838871,0.033470968,0.006933871,0.124856452,0.01735,0.063285484,0.265677419,0.115525806,0.0419,0.195612903,0.033832258,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,79,16,25,0.57,0.21,9,6569
